goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Year
3,0,0,9,69.23,2,50.0,3,50.0,2,0,82.14,11,64.71,135,4,0,1,2,0,0,0,1,0,0,0,0,0,17,0,46,3,0,0.0,0,0.0,3,0,0,0,7,5,0,42.86,0,0,0.38,0,0,0,Karim Adeyemi,Borussia Dortmund,940054,2673,24/25
4,0,0,6,60.0,3,50.0,3,100.0,1,0,81.82,9,56.25,180,2,1,3,2,0,0,0,2,1,0,0,0,0,20,0,45,3,0,0.0,4,100.0,1,0,0,1,10,7,1,40.0,0,2,3.87,0,0,1,Harry Kane,FC Bayern München,108579,2672,24/25
0,0,0,1,100.0,4,66.67,0,0.0,1,0,99.09,5,71.43,90,0,1,0,1,0,0,0,0,0,0,0,0,0,38,1,109,2,0,0.0,5,100.0,1,1,0,0,2,1,0,0.0,0,0,0.1,0,0,0,John Stones,Manchester City,152077,17,24/25
0,0,0,3,100.0,0,0.0,0,0.0,1,0,64.94,3,100.0,180,2,0,0,2,12,6,6,0,0,4,0,2,0,7,0,50,0,0,0.0,16,38.1,0,4,0,0,0,0,0,0.0,0,0,,0,0,0,Emiliano Martínez,Aston Villa,158263,40,24/25
2,0,0,8,57.14,1,100.0,5,71.43,3,0,91.21,9,60.0,161,0,0,1,2,0,0,0,0,0,0,0,0,0,29,1,83,7,0,0.0,1,33.33,1,2,3,0,4,3,0,50.0,0,0,1.02,0,0,0,Florian Wirtz,Bayer 04 Leverkusen,1019322,2681,24/25
1,1,0,8,50.0,0,0.0,3,75.0,3,1,96.88,8,47.06,78,2,2,2,1,0,0,0,2,0,0,0,0,0,16,0,31,2,0,0.0,2,66.67,0,1,3,0,2,1,0,50.0,0,0,0.14,0,0,0,Francisco Conceição,Juventus,979222,2687,24/25
0,0,0,10,52.63,0,0.0,5,45.45,4,2,77.78,10,52.63,113,1,1,1,2,0,0,0,2,1,0,0,0,0,31,4,63,9,0,0.0,2,100.0,0,0,1,0,5,3,2,0.0,0,1,0.3,0,0,0,Jamal Musiala,FC Bayern München,1010231,2672,24/25
0,0,0,4,66.67,0,0.0,1,100.0,2,1,93.53,4,66.67,180,1,0,1,2,0,0,0,0,0,0,0,0,0,71,3,130,5,0,0.0,1,100.0,0,0,1,1,3,3,0,0.0,0,0,0.42,0,0,0,Rico Lewis,Manchester City,1136731,17,24/25
0,0,0,0,0.0,2,100.0,0,0.0,0,0,63.64,2,100.0,90,0,0,0,1,6,5,1,2,0,3,4,2,4,0,0,28,0,0,0.0,8,38.1,0,4,0,0,0,0,0,0.0,0,0,,0,0,0,Marc-André ter Stegen,Barcelona,88625,2817,24/25
0,0,0,8,72.73,1,50.0,7,87.5,0,0,91.89,9,69.23,91,1,0,2,2,0,0,0,0,0,0,0,0,0,23,0,34,6,2,50.0,0,0.0,1,1,0,0,3,1,1,0.0,0,0,0.16,0,0,0,Lazar Samardžić,Atalanta,980624,2686,24/25
2,0,0,4,36.36,2,50.0,1,100.0,1,1,76.92,6,40.0,180,2,4,2,2,0,0,0,3,0,0,0,0,0,10,2,20,3,0,0.0,2,50.0,1,0,2,1,10,4,2,20.0,0,1,1.42,0,0,0,Dušan Vlahović,Juventus,832208,2687,24/25
1,0,0,6,66.67,0,0.0,3,60.0,2,1,72.5,6,54.55,179,1,0,1,2,0,0,0,1,0,0,0,0,0,14,1,29,4,2,50.0,1,100.0,0,0,0,0,8,4,1,12.5,2,1,0.54,0,0,0,Mohamed Salah,Liverpool,159665,44,24/25
0,0,0,0,0.0,2,66.67,0,0.0,0,0,65.63,2,66.67,180,1,0,0,2,9,6,3,1,0,4,0,2,0,7,0,42,0,0,0.0,34,60.71,0,3,0,0,0,0,0,0.0,0,0,,0,1,0,Marco Bizot,Stade Brestois,100390,1715,24/25
3,0,0,6,75.0,2,66.67,1,50.0,1,0,85.19,8,72.73,101,4,0,1,2,0,0,0,1,0,0,0,0,0,5,0,23,1,0,0.0,0,0.0,0,2,0,0,5,5,0,60.0,0,1,1.86,0,0,0,Serhou Guirassy,Borussia Dortmund,328027,2673,24/25
0,0,0,3,100.0,0,0.0,1,100.0,0,0,80.0,3,100.0,141,2,0,0,2,13,9,4,3,0,3,1,1,1,1,0,56,0,0,0.0,7,35.0,1,4,0,0,0,0,0,0.0,0,0,,0,0,0,Mike Maignan,Milan,191210,2692,24/25
0,0,0,8,61.54,1,33.33,2,66.67,6,0,96.79,9,56.25,168,0,3,1,2,0,0,0,0,0,0,0,0,0,61,1,151,1,1,100.0,2,66.67,2,4,0,0,1,1,0,0.0,0,0,0.06,0,0,0,Joško Gvardiol,Manchester City,964994,17,24/25
1,0,0,2,28.57,0,0.0,0,0.0,0,1,91.03,2,25.0,123,2,0,2,2,0,0,0,0,0,0,0,0,0,34,1,71,6,1,16.67,0,0.0,0,1,2,1,9,4,1,11.11,1,0,0.76,0,0,0,Phil Foden,Manchester City,859765,17,24/25
0,0,0,6,50.0,0,0.0,0,0.0,5,2,91.9,6,46.15,180,1,1,2,2,0,0,0,2,1,0,0,0,0,61,1,193,6,5,35.71,9,69.23,1,0,2,0,3,3,0,0.0,0,0,0.19,0,0,0,Joshua Kimmich,FC Bayern München,259117,2672,24/25
0,0,0,6,60.0,0,0.0,5,100.0,0,1,81.48,6,60.0,75,1,1,2,1,0,0,0,1,0,0,0,0,0,15,1,22,3,3,42.86,1,100.0,1,0,1,0,3,0,3,0.0,0,0,0.3,0,0,0,Rodrygo,Real Madrid,910536,2829,24/25
0,0,0,0,0.0,0,0.0,0,0.0,0,0,82.05,0,0.0,90,0,0,0,1,6,3,3,1,0,1,0,0,0,2,0,32,0,0,0.0,3,33.33,0,1,0,0,0,0,0,0.0,0,0,,0,0,0,Thibaut Courtois,Real Madrid,70988,2829,24/25
0,1,0,6,85.71,0,0.0,0,0.0,3,0,82.22,6,85.71,90,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0.0,5,55.56,3,4,0,0,1,0,0,0.0,0,0,0.02,0,0,0,Julien Le Cardinal,Stade Brestois,1129751,1715,24/25
1,0,0,4,57.14,0,0.0,1,50.0,3,2,77.42,4,44.44,180,0,1,0,2,0,0,0,0,0,0,0,0,0,15,2,24,5,0,0.0,0,0.0,0,3,1,0,1,1,0,100.0,0,0,0.79,0,0,0,Mehdi Taremi,Inter,812533,2697,24/25
1,0,0,9,52.94,0,0.0,3,42.86,3,1,71.08,9,50.0,180,3,1,2,2,0,0,0,2,0,0,0,0,0,33,1,59,8,3,27.27,4,50.0,2,1,1,0,7,1,2,14.29,0,2,0.54,0,0,1,Raphinha,Barcelona,831005,2817,24/25
1,0,0,1,50.0,0,0.0,0,0.0,1,0,88.89,1,50.0,81,0,0,1,1,0,0,0,2,0,0,0,0,0,21,0,56,3,0,0.0,0,0.0,4,0,0,0,3,1,1,33.33,0,0,0.23,0,0,0,Raphaël Guerreiro,FC Bayern München,246999,2672,24/25
0,0,0,2,100.0,0,0.0,0,0.0,2,0,99.12,2,50.0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,112,1,0,0.0,4,100.0,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Niklas Süle,Borussia Dortmund,168937,2673,24/25
0,0,0,0,0.0,1,100.0,0,0.0,0,0,82.86,1,100.0,180,0,0,0,2,8,5,3,0,0,0,3,1,3,0,0,58,0,0,0.0,11,50.0,0,5,0,0,0,0,0,0.0,0,0,,0,0,0,Lukáš Hrádecký,Bayer 04 Leverkusen,15219,2681,24/25
3,1,0,9,45.0,12,80.0,0,0.0,6,0,52.17,21,60.0,160,3,6,2,2,0,0,0,1,0,0,0,0,0,10,0,24,0,0,0.0,0,0.0,2,1,0,1,6,3,1,50.0,0,0,1.56,0,0,0,Abdallah Sima,Stade Brestois,1029018,1715,24/25
1,0,0,6,75.0,2,100.0,2,100.0,3,1,81.71,8,80.0,134,1,1,0,2,0,0,0,2,0,0,0,0,0,30,1,67,3,3,37.5,3,100.0,1,0,1,1,5,1,1,20.0,0,1,0.86,0,0,0,Antoine Griezmann,Atlético Madrid,85859,2836,24/25
2,0,0,11,68.75,1,100.0,3,75.0,3,0,79.82,12,70.59,174,5,0,1,2,0,0,0,1,0,0,0,0,0,21,1,91,2,0,0.0,5,50.0,0,1,3,0,4,3,0,50.0,0,0,0.91,0,0,0,Orkun Kökçü,Benfica,907461,3006,24/25
1,0,0,10,76.92,0,0.0,5,83.33,4,0,96.88,10,66.67,169,1,1,1,2,0,0,0,0,0,0,0,0,0,31,0,93,2,1,16.67,0,0.0,1,6,0,0,3,2,0,33.33,0,0,0.61,0,0,0,Alejandro Grimaldo,Bayer 04 Leverkusen,177177,2681,24/25
