goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Year
15,1,0,19,30.65,7,43.75,12,46.15,3,2,82.75,26,33.33,1106,4,2,20,12,0,0,0,12,1,0,0,0,0,228,5,422,20,3,30.0,15,75.0,1,11,7,2,46,23,9,32.61,1,8,,0,0,0,Karim Benzema,Real Madrid,3306,2829,21/22
15,2,0,39,60.94,22,55.0,22,75.86,5,3,81.4,61,58.65,1170,12,6,10,13,0,0,0,16,0,0,0,0,0,134,5,315,16,1,8.33,5,55.56,3,10,3,12,82,34,13,18.29,3,18,,0,0,1,Cristiano Ronaldo,Real Madrid,750,2829,17/18
15,0,0,38,47.5,28,50.91,12,52.17,10,5,78.63,66,48.89,887,16,11,12,10,0,0,0,6,1,0,0,0,0,115,6,195,21,2,33.33,5,83.33,2,8,8,11,52,33,9,28.85,1,4,,0,0,0,Robert Lewandowski,FC Bayern München,41789,2672,19/20
13,1,0,26,44.83,6,26.09,9,60.0,4,3,80.73,32,39.51,876,13,11,12,10,0,0,0,7,0,0,0,0,0,74,3,155,12,0,0.0,4,80.0,1,2,4,4,31,19,4,41.94,1,8,,0,0,0,Robert Lewandowski,FC Bayern München,41789,2672,21/22
12,1,0,20,46.51,17,60.71,12,75.0,1,1,74.59,37,52.11,845,7,11,7,11,0,0,0,3,1,0,0,0,0,46,2,91,7,0,0.0,1,100.0,2,3,1,10,41,26,6,29.27,2,4,10.66,0,0,0,Erling Haaland,Manchester City,839956,17,22/23
12,0,0,65,53.28,1,25.0,35,61.4,10,3,84.49,66,52.38,837,20,8,23,10,0,0,0,8,1,0,0,0,0,249,9,501,28,3,23.08,34,79.07,3,0,4,3,54,26,10,22.22,2,1,,0,0,1,Lionel Messi,Barcelona,12994,2817,18/19
11,1,0,22,43.14,26,54.17,8,57.14,3,2,79.31,48,48.48,668,11,17,5,8,0,0,0,7,0,0,0,0,0,67,1,138,13,0,0.0,2,50.0,1,4,2,6,24,14,2,45.83,0,3,,0,0,0,Sébastien Haller,Ajax,149731,2953,21/22
10,0,0,44,50.0,2,11.11,28,73.68,6,4,74.74,46,43.4,929,10,6,24,13,0,0,0,8,2,0,0,0,0,132,8,219,31,9,47.37,7,58.33,5,3,7,3,43,23,12,23.26,0,8,,0,0,2,Mohamed Salah,Liverpool,159665,44,17/18
10,2,0,15,48.39,8,53.33,8,57.14,1,2,75.32,23,50.0,705,6,4,4,8,0,0,0,9,2,0,0,0,0,48,4,116,11,2,33.33,0,0.0,3,10,2,3,26,17,2,38.46,0,1,,0,0,0,Erling Haaland,Borussia Dortmund,839956,2673,20/21
10,2,0,13,25.49,7,36.84,6,33.33,4,1,66.41,20,28.57,554,3,11,11,8,0,0,0,11,2,0,0,0,0,37,1,85,4,1,33.33,1,50.0,3,8,5,2,21,13,2,47.62,0,2,,0,0,0,Erling Haaland,Borussia Dortmund,839956,2673,19/20
8,1,0,50,48.08,4,30.77,36,54.55,2,0,84.66,54,46.15,1080,12,11,11,12,0,0,0,14,1,0,0,0,0,182,9,309,26,3,13.64,15,78.95,4,0,2,10,51,27,9,15.69,4,19,8.16,0,0,0,Kylian Mbappé,Paris Saint-Germain,826643,1644,23/24
8,0,0,58,58.59,3,37.5,37,59.68,2,2,77.32,61,57.01,899,19,1,10,10,0,0,0,8,3,0,0,0,0,99,8,208,19,3,30.0,3,75.0,1,6,5,6,32,15,7,25.0,0,14,,0,0,0,Kylian Mbappé,Paris Saint-Germain,826643,1644,20/21
8,0,0,45,40.54,4,26.67,26,50.98,7,2,82.46,49,38.89,1009,12,4,31,13,0,0,0,11,1,0,0,0,0,183,4,348,23,1,8.33,5,71.43,2,0,6,7,43,22,10,18.6,2,5,,0,0,0,Mohamed Salah,Liverpool,159665,44,21/22
8,2,0,17,43.59,10,34.48,5,50.0,3,0,78.84,27,39.71,651,9,4,11,9,0,0,0,13,1,0,0,0,0,79,3,149,12,0,0.0,4,80.0,2,2,2,4,23,16,3,34.78,0,9,,0,0,0,Wissam Ben Yedder,Sevilla,119192,2833,17/18
8,1,0,28,39.44,40,66.67,9,45.0,6,2,71.26,68,51.91,1078,15,10,19,12,0,0,0,16,3,0,0,0,0,72,2,176,18,1,20.0,12,80.0,0,9,4,3,46,17,6,17.39,0,6,,1,0,0,Edin Džeko,Roma,14990,2702,17/18
8,0,0,18,29.51,21,44.68,6,66.67,2,0,71.83,39,36.11,713,11,14,25,8,0,0,0,8,0,0,0,0,0,39,0,102,6,1,25.0,0,0.0,6,5,4,4,26,17,4,30.77,0,5,,0,0,0,Robert Lewandowski,FC Bayern München,41789,2672,18/19
8,1,0,37,56.06,24,54.55,4,33.33,9,4,69.59,61,55.45,1065,25,14,9,12,0,0,0,9,0,0,0,0,0,65,2,151,15,0,0.0,24,72.73,1,7,1,3,36,17,8,22.22,1,4,5.9,0,0,1,Harry Kane,FC Bayern München,108579,2672,23/24
8,0,0,15,30.0,1,25.0,9,47.37,3,2,85.37,16,29.63,624,3,2,20,8,0,0,0,11,0,0,0,0,0,84,4,175,13,1,10.0,4,57.14,2,1,3,2,23,13,5,34.78,1,4,4.0,0,0,0,Mohamed Salah,Liverpool,159665,44,22/23
7,1,0,85,49.71,1,33.33,47,48.96,10,5,80.54,86,49.43,975,28,11,20,12,0,0,0,10,1,0,0,0,0,175,4,327,18,2,9.52,13,59.09,1,0,8,13,38,21,7,18.42,0,6,6.52,0,0,0,Vinícius Júnior,Real Madrid,868812,2829,22/23
7,1,0,4,13.79,5,45.45,0,0.0,1,1,79.86,9,22.5,680,3,6,10,8,0,0,0,7,0,0,0,0,0,37,2,115,5,0,0.0,4,66.67,5,5,5,3,27,10,4,25.93,1,9,,0,0,0,Edinson Cavani,Paris Saint-Germain,21521,1644,17/18
7,0,0,31,46.97,11,42.31,20,66.67,2,2,78.57,42,45.65,597,10,8,16,7,0,0,0,6,1,0,0,0,0,44,3,77,14,0,0.0,9,90.0,2,8,4,4,32,16,8,21.88,1,2,,0,0,0,Harry Kane,Tottenham Hotspur,108579,33,17/18
7,0,0,23,44.23,7,41.18,4,44.44,11,1,86.22,30,43.48,531,8,10,10,6,0,0,0,12,1,0,0,0,0,73,1,169,9,4,33.33,8,80.0,4,0,4,2,17,11,2,41.18,0,2,,0,0,0,Christopher Nkunku,RB Leipzig,769333,36360,21/22
7,0,0,33,52.38,1,33.33,17,45.95,0,3,80.47,34,51.52,651,16,2,8,8,0,0,0,9,0,0,0,0,0,118,2,206,8,5,22.73,4,66.67,0,2,1,4,26,15,3,26.92,0,9,3.61,0,0,0,Kylian Mbappé,Paris Saint-Germain,826643,1644,22/23
6,1,0,31,50.82,4,30.77,14,63.64,3,0,77.73,35,47.3,594,15,6,15,8,0,0,0,7,3,0,0,0,0,81,0,171,13,8,18.18,10,71.43,1,0,2,2,21,12,4,28.57,0,5,,0,0,0,Memphis Depay,Olympique Lyonnais,138833,1649,19/20
6,2,0,18,35.29,6,66.67,11,50.0,4,1,88.2,24,40.0,509,3,5,11,7,0,0,0,6,2,0,0,0,0,66,0,142,5,1,16.67,1,100.0,2,1,6,4,30,16,5,20.0,1,3,,0,0,0,Sergio Agüero,Manchester City,17094,17,18/19
6,1,1,39,54.17,18,52.94,18,66.67,3,2,84.59,57,53.77,749,20,7,12,9,0,0,0,7,2,0,0,0,0,92,4,225,17,2,10.53,3,60.0,3,6,7,1,48,13,13,12.5,1,2,,0,0,0,Cristiano Ronaldo,Juventus,750,2687,18/19
6,1,0,29,36.25,14,35.0,10,41.67,8,2,69.78,43,35.83,840,11,17,22,9,0,0,0,13,0,0,0,0,0,41,3,97,7,2,22.22,4,80.0,2,7,1,3,26,15,1,23.08,1,13,,0,0,1,Moussa Marega,FC Porto,298300,3002,18/19
6,0,0,24,51.06,7,25.93,12,60.0,8,0,87.22,31,41.89,841,4,4,11,10,0,0,0,9,1,0,0,0,0,122,1,314,18,1,25.0,14,82.35,2,2,1,7,33,17,8,18.18,5,7,,0,0,0,Karim Benzema,Real Madrid,3306,2829,20/21
6,0,0,25,40.32,7,50.0,15,65.22,6,1,75.71,32,42.11,778,4,4,19,10,0,0,0,5,0,0,0,0,0,82,2,187,8,1,50.0,4,57.14,5,2,6,6,22,13,5,27.27,0,4,,0,1,0,Mohamed Salah,Liverpool,159665,44,20/21
6,0,0,30,47.62,22,64.71,16,69.57,6,3,86.53,52,53.61,597,9,7,15,8,0,0,0,6,2,0,0,0,0,78,4,167,16,0,0.0,1,100.0,8,3,5,6,25,10,4,24.0,0,4,,0,0,0,Gabriel Jesus,Manchester City,794839,17,19/20
6,1,0,26,42.62,9,50.0,5,35.71,12,1,86.36,35,44.3,822,9,7,8,10,0,0,0,12,0,0,0,0,0,145,5,399,28,14,28.57,22,73.33,6,10,11,3,22,10,4,27.27,3,0,4.24,0,0,1,Antoine Griezmann,Atlético Madrid,85859,2836,23/24
